Date,Adj Close,Close,High,Low,Open,Volume
2012-01-03,99.05701446533203,127.5,128.3800048828125,127.43000030517578,127.76000213623047,193697900
2012-01-04,99.21240234375,127.69999694824219,127.80999755859375,126.70999908447266,127.19999694824219,127186500
2012-01-05,99.47657012939453,128.0399932861328,128.22999572753906,126.43000030517578,127.01000213623047,173895000
2012-01-06,99.22015380859375,127.70999908447266,128.22000122070312,127.29000091552734,128.1999969482422,148050000
2012-01-09,99.46100616455078,128.02000427246094,128.17999267578125,127.41000366210938,128.0,99530200
2012-01-10,100.32337188720703,129.1300048828125,129.64999389648438,128.9499969482422,129.38999938964844,115282000
2012-01-11,100.3777847290039,129.1999969482422,129.3699951171875,128.52000427246094,128.72999572753906,111540700
2012-01-12,100.61860656738281,129.50999450683594,129.6999969482422,128.5399932861328,129.57000732421875,118983700
2012-01-13,100.09808349609375,128.83999633789062,129.0500030517578,127.72000122070312,128.63999938964844,179836200
2012-01-17,100.48654174804688,129.33999633789062,130.32000732421875,128.89999389648438,130.0800018310547,132209200
2012-01-18,101.5975570678711,130.77000427246094,130.83999633789062,129.0800018310547,129.30999755859375,163395200
2012-01-19,102.1336441040039,131.4600067138672,131.57000732421875,130.8000030517578,131.22000122070312,126328900
2012-01-20,102.51425170898438,131.9499969482422,131.9499969482422,130.9199981689453,131.24000549316406,138230200
2012-01-23,102.25010681152344,131.61000061035156,132.25,130.97999572753906,131.50999450683594,129295800
2012-01-24,102.1336441040039,131.4600067138672,131.5,130.60000610351562,130.8000030517578,103083300
2012-01-25,102.98819732666016,132.55999755859375,132.8699951171875,130.75,131.25999450683594,198613200
2012-01-26,102.45989990234375,131.8800048828125,133.39999389648438,131.36000061035156,133.14999389648438,184880500
2012-01-27,102.41329956054688,131.82000732421875,132.0500030517578,131.14999389648438,131.24000549316406,135259100
2012-01-30,102.06367492675781,131.3699951171875,131.44000244140625,130.05999755859375,130.50999450683594,147311800
2012-01-31,102.02482604980469,131.32000732421875,132.17999267578125,130.67999267578125,132.02000427246094,157212000
2012-02-01,102.91828155517578,132.47000122070312,133.13999938964844,132.1300048828125,132.2899932861328,166234500
2012-02-02,103.08143615722656,132.67999267578125,133.02000427246094,132.2100067138672,132.72999572753906,113090400
2012-02-03,104.5264892578125,134.5399932861328,134.6199951171875,133.77000427246094,134.0,160598500
2012-02-06,104.45657348632812,134.4499969482422,134.50999450683594,133.8300018310547,133.97999572753906,107694500
2012-02-07,104.72074127197266,134.7899932861328,135.02000427246094,133.63999938964844,134.1699981689453,135528100
2012-02-08,105.0315170288086,135.19000244140625,135.22000122070312,134.30999755859375,134.86000061035156,139361400
2012-02-09,105.16358947753906,135.36000061035156,135.58999633789062,134.55999755859375,135.41000366210938,148602900
2012-02-10,104.38666534423828,134.36000061035156,134.47000122070312,133.83999633789062,134.16000366210938,167907500
2012-02-13,105.16358947753906,135.36000061035156,135.52000427246094,134.74000549316406,135.32000732421875,115841900
2012-02-14,105.0315170288086,135.19000244140625,135.27000427246094,134.25,135.0,165329500
2012-02-15,104.54203033447266,134.55999755859375,135.8300018310547,134.2899932861328,135.6300048828125,195195100
2012-02-16,105.69965362548828,136.0500030517578,136.1699981689453,134.3300018310547,134.57000732421875,186567800
2012-02-17,105.97936248779297,136.41000366210938,136.6300048828125,135.9600067138672,136.52000427246094,129869400
2012-02-21,106.02594757080078,136.47000122070312,137.0500030517578,136.0500030517578,136.72999572753906,134042300
2012-02-22,105.68411254882812,136.02999877929688,136.5500030517578,135.7899932861328,136.25999450683594,124455300
2012-02-23,106.15027618408203,136.6300048828125,136.72999572753906,135.5,135.9600067138672,137704300
2012-02-24,106.38331604003906,136.92999267578125,137.1999969482422,136.6300048828125,136.92999267578125,105539100
2012-02-27,106.56202697753906,137.16000366210938,137.52999877929688,135.8000030517578,136.02000427246094,145728900
2012-02-28,106.872802734375,137.55999755859375,137.72000122070312,136.92999267578125,137.1999969482422,129355900
2012-02-29,106.4532470703125,137.02000427246094,138.19000244140625,136.5399932861328,137.75999450683594,185934700
2012-03-01,107.00487518310547,137.72999572753906,137.99000549316406,136.92999267578125,137.30999755859375,145023500
2012-03-02,106.67858123779297,137.30999755859375,137.82000732421875,137.0,137.63999938964844,120638300
2012-03-05,106.2435073852539,136.75,137.1999969482422,136.27999877929688,137.10000610351562,140765000
2012-03-06,104.68966674804688,134.75,135.42999267578125,134.36000061035156,135.35000610351562,202129900
2012-03-07,105.41993713378906,135.69000244140625,135.91000366210938,134.92999267578125,135.05999755859375,143692200
2012-03-08,106.46879577636719,137.0399932861328,137.32000732421875,136.24000549316406,136.52000427246094,116968900
2012-03-09,106.88053894042969,137.57000732421875,137.92999267578125,137.1300048828125,137.3000030517578,122836800
2012-03-12,106.88835906982422,137.5800018310547,137.75999450683594,137.08999633789062,137.5500030517578,104003500
2012-03-13,108.81507873535156,140.05999755859375,140.1300048828125,138.08999633789062,138.32000732421875,184090500
2012-03-14,108.69855499267578,139.91000366210938,140.4499969482422,139.47999572753906,140.10000610351562,145163600
2012-03-15,109.3278579711914,140.72000122070312,140.77999877929688,139.75999450683594,140.1199951171875,165118500
2012-03-16,109.47924041748047,140.3000030517578,140.47999572753906,140.0,140.36000061035156,152893500
2012-03-19,109.9084243774414,140.85000610351562,141.27999877929688,140.11000061035156,140.2100067138672,125291100
2012-03-20,109.5884780883789,140.44000244140625,140.61000061035156,139.63999938964844,140.0500030517578,121729700
2012-03-21,109.40907287597656,140.2100067138672,140.64999389648438,139.9199981689453,140.52000427246094,122388400
2012-03-22,108.6208724975586,139.1999969482422,139.5500030517578,138.74000549316406,139.17999267578125,135216700
2012-03-23,108.97203063964844,139.64999389648438,139.80999755859375,138.5500030517578,139.32000732421875,120521000
2012-03-26,110.50145721435547,141.61000061035156,141.61000061035156,140.60000610351562,140.64999389648438,120164000
2012-03-27,110.15814971923828,141.1699981689453,141.8300018310547,141.0800018310547,141.74000549316406,119868500
2012-03-28,109.6119155883789,140.47000122070312,141.32000732421875,139.63999938964844,141.10000610351562,148562100
